title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Compressed modernity and its discontents: South Korean society in transtion,C Kyung-Sup,1999,471,"… elements of Western modernity in a compressed manner, but now its inherent limit in formu… Ideas in this paper were presented at the colloquia and seminars hosted by the Center for …",GsS6kzboxCcJ,"C Kyung-Sup - Economy and society, 1999 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/03085149900000023,unknown,unknown
'You are entrapped in an imaginary well': the formation of subjectivity within compressed development-a feminist critique of modernity and Korean culture,CH Hae-Joang,2000,124,"… I/we should view existing scholarly concepts with scepticism, overthrow the language I/we have been using, and change the boundaries of modern academia itself. The time has come …",H3x9XOuwPe4J,"CH Hae-Joang - Inter-Asia Cultural Studies, 2000 - Taylor & Francis",[],https://www.tandfonline.com/doi/pdf/10.1080/146493700360999,unknown,unknown
Alienation and acceleration: Towards a critical theory of late-modern temporality,H Rosa,2026,877,… The critics of the concept of alienation have long and rightly … of the social impact of acceleration than the maximum speeds)… to the speed and compression of actions and experiences in …,_o0ZiKM2Y6QJ,H Rosa - 2026 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=qzXbEQAAQBAJ&oi=fnd&pg=PA1960&dq=compressed+modernity+critique+limits+concept&ots=k0i38Ml8bW&sig=isKI-Q65U5bW0ucVQ2icz66F-A8,unknown,unknown
Accelerating modernity: time–space compression in the wake of the aeroplane,DG Simonsen,2005,62,"… light) was now the limit, and modernity was one continuous, … the idea that acceleration has continuously compressed time … critique of modernism and Marxism, and through his analysis …",L-VzOY6_Jp8J,"DG Simonsen - The Journal of Transport History, 2005 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.7227/TJTH.26.2.6,unknown,unknown
Reflexive modernization temporalized,B Adam,2003,323,"… has reached its limits, I show reflexive modernization in action. … ), we have grown used to the idea that order is tantamount to ‘being … In situations where the limits of time compression and …",pVFcr3exZ5kJ,"B Adam - Theory, culture & society, 2003 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0263276403020002004,unknown,unknown
The Risk of Compressed Modernity,C Kyung-Sup,2025,10,"… or erroneously Ulrich's theoretical ideas and analytical judgments … removed, if a society's maximum production potentials are to be … critiques on late modernity (or high modernity, liquid …",cBT76qoCLmIJ,"C Kyung-Sup - 2025 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=OZxwEQAAQBAJ&oi=fnd&pg=PA1983&dq=compressed+modernity+critique+limits+concept&ots=dfj_nQ0hmL&sig=t9z85rimnK47bWkxSPe8lXXeh_4,unknown,unknown
The logic of compressed modernity,C Kyung-Sup,2022,111,"… to work further on all remaining limits and defects. Since I am also … "" in social theory and analysis and instead advocates ""… approach, this chapter presents the formal definition, core …",P7Qh6GT7nJsJ,C Kyung-Sup - 2022 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=58tqEAAAQBAJ&oi=fnd&pg=PT6&dq=compressed+modernity+critique+limits+concept&ots=rwF-Hfvf8w&sig=VcZaaqWFfZ5PiisMzCQFMAJ7bpQ,unknown,unknown
Politics and the Limits of Modernity,E Laclau,1989,607,"… In the latter realm, to which I shall here limit my analysis, … characteristic: the attempt to establish boundaries, that is to say, … If, on the other hand, we think about it positively, the concepts …",rdSQEqB-C1QJ,"E Laclau - Social Text, 1989 - JSTOR",[],https://www.jstor.org/stable/827809,unknown,unknown
