title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Filter Bubbles and the Unfeeling: How AI for Social Media Can Foster Extremism and Polarization: E. Rodilosso,E Rodilosso,2024,110,"… selections made by algorithms that recommend contents that … how selective algorithms work – our social media experience … in an extreme way our beliefs and opinions, making our …",Cm7YpCJa8CYJ,"E Rodilosso - Philosophy & Technology, 2024 - Springer",[],https://link.springer.com/article/10.1007/s13347-024-00758-4,unknown,unknown
Link recommendation algorithms and dynamics of polarization in online social networks,"FP Santos, Y Lelkes, SA Levin",2021,344,… fragmentation—rewiring based on structural similarity can be less restrictive in contexts where information about opinions and beliefs is not readily available to individuals before the …,1MQnDRWQ5joJ,"FP Santos, Y Lelkes, SA Levin - Proceedings of the National Academy of …, 2021 - pnas.org",[],https://www.pnas.org/doi/abs/10.1073/pnas.2102141118,unknown,unknown
Do search algorithms endanger democracy? An experimental investigation of algorithm effects on political polarization,"J Cho, S Ahmed, M Hilbert, B Liu…",2020,283,"… and beliefs allow algorithms to hone further recommendations… in social networks, the resulting algorithmic recommendations … and beliefs could then lessen selfreinforcement and opinion …",gc1UxEImnYcJ,"J Cho, S Ahmed, M Hilbert, B Liu… - … & Electronic media, 2020 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/08838151.2020.1757365,unknown,unknown
Embedding societal values into social media algorithms,"M Bernstein, A Christin, J Hancock…",2023,54,"… on ranking and recommendation, especially feed algorithms, … Values are broadly defined as beliefs about desirable end … content that promotes political polarization and intergroup hate. …",rJ_pUf0ZKJgJ,"M Bernstein, A Christin, J Hancock… - Journal of Online Trust …, 2023 - tsjournal.org",[],https://www.tsjournal.org/index.php/jots/article/download/148/60,unknown,unknown
"The Role of AI, Filter Bubbles, and Echo Chambers in Political and Religious Polarization on Social Media","AS Zabieno, D Damayanti…",2025,5,"… , utilizing a literature review method that … religion on social media cannot be solely understood in ontological terms; instead, it arises from a complex interplay between system algorithms …",N_1A3xuIdo4J,"AS Zabieno, D Damayanti… - … Penelitian: Media …, 2025 - ejournal.uinsatu.ac.id",[],https://ejournal.uinsatu.ac.id/index.php/dinamika/article/view/11474,unknown,unknown
The effect of people recommenders on echo chambers and polarization,"F Cinus, M Minici, C Monti, F Bonchi",2022,156,"… algorithm on echo chambers and polarization. We do not place any assumption on the given recommender… ments, shares the results with his network, and then updates his belief on the …",iAMxytOE64AJ,"F Cinus, M Minici, C Monti, F Bonchi - … on web and social media, 2022 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/ICWSM/article/view/19275,unknown,unknown
Designing social media content recommendation algorithms for societal good,"J Lasser, N Poechhacker",2025,26,… While social media exposure in ethnically polarized settings … These proposals for alternative recommendation algorithms … such as consensus-finding and belief accuracy.While some …,_KNGRa28FqoJ,"J Lasser, N Poechhacker - Annals of the New York Academy of …, 2025 - Wiley Online Library",[],https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/nyas.15359,unknown,unknown
The algorithmic management of polarization and violence on social media,"J Stray, R Iyer, H Puig Larrauri",2023,64,"… , and especially to manipulate recommendation algorithms into treating such content as … and relatable individuals with different political beliefs, or presenting group identities that …",MyfPewJXCLEJ,"J Stray, R Iyer, H Puig Larrauri - 2023 - escholarship.org",[],https://escholarship.org/content/qt9vc329zb/qt9vc329zb.pdf,unknown,unknown
