title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
South Korea under compressed modernity: Familial political economy in transition,KS Chang,2010,559,"… Also, where necessary, I comparatively appraise South Korea’s family-centered modernity vis-à-vis other East Asian societies and Western societies so as to prepare a logical basis for …",1SZBYUW7TIMJ,KS Chang - 2010 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=AbbHBQAAQBAJ&oi=fnd&pg=PT3&dq=compressed+modernity+Chang+Kyung-Sup+Korea+Asia&ots=VDIhI-Uaub&sig=nlCvHrxF0NRFpf0nFczrhKtQMtU,unknown,unknown
The logic of compressed modernity,C Kyung-Sup,2022,111,"… “pop culture” in Asia, the Korean wave), as well as many of South Korea’s key experts… compressed modernity, in which I present a more formalized explanation of compressed modernity …",P7Qh6GT7nJsJ,C Kyung-Sup - 2022 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=58tqEAAAQBAJ&oi=fnd&pg=PT6&dq=compressed+modernity+Chang+Kyung-Sup+Korea+Asia&ots=rwF-HeCkfE&sig=KY869d8dFUkmUhMVvkpwVZMFyxA,unknown,unknown
The stranded individualizer under compressed modernity: South Korean women in individualization without individualism,"C Kyung‐Sup, S Min‐Young",2010,302,"… While the proportion of unmarried women aged thirty or more is still much lower in South Korea than in neighbouring East Asian capitalist societies, the speed at which the age-at-first-…",s73cKZPZxHsJ,"C Kyung‐Sup, S Min‐Young - The British journal of sociology, 2010 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-4446.2010.01325.x,unknown,unknown
The second modern condition? Compressed modernity as internalized reflexive cosmopolitization,C Kyung‐Sup,2010,322,… compressed modernity – a form of modernity I have to date been analysing in respect to externally oriented and rapidly overtaking modernizers in (pre-crisis) East Asia – … South Korea …,kZYccuyGJw8J,"C Kyung‐Sup - The British journal of sociology, 2010 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-4446.2010.01321.x,unknown,unknown
Compressed modernity in South Korea,C Kyung-Sup,2016,63,"… research on South Korea and East Asia, the concept of compressed modernity has been … compressed modernity, point out historical and structural conditions for compressed modernity…",r6JDabMkgxoJ,"C Kyung-Sup - The Routledge handbook of Korean culture and …, 2016 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=CzQlDwAAQBAJ&oi=fnd&pg=PA31&dq=compressed+modernity+Chang+Kyung-Sup+Korea+Asia&ots=aNI1AICg-k&sig=MsM6N7Zc7tXJE4SiBhzgH-VyK4k,unknown,unknown
Compressed modernity and its discontents: South Korean society in transtion,C Kyung-Sup,1999,471,"… that Asian economies, including South Korea's, have … Asian economies is not whether their performance is comparable with that of current Western economies, but why and how Asian …",GsS6kzboxCcJ,"C Kyung-Sup - Economy and society, 1999 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/03085149900000023,unknown,unknown
The Risk of Compressed Modernity,C Kyung-Sup,2025,10,"… Korea, among many other successfully developed or transformed societies (particularly in East Asia), … integrative critical account of South Korea's compressed modernity, focusing on its …",cBT76qoCLmIJ,"C Kyung-Sup - 2025 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=OZxwEQAAQBAJ&oi=fnd&pg=PA1983&dq=compressed+modernity+critique+limits+concept&ots=dfj_nP7mtT&sig=GswoqFiDoIjxYyiSfiSYxooupj8,unknown,unknown
East Asia's condensed transition to second modernity,KS Chang,2010,44,"… reform - tends to make its modernity even more complex than that of South Korea.7 East Asia in the early 21st century does not appear to depart from compressed modernity. In fact, the …",2lTk2ZE6powJ,"KS Chang - Soziale Welt, 2010 - JSTOR",[],https://www.jstor.org/stable/23060006,unknown,unknown
