title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Between facts and myth: Karl Jaspers and the actuality of the axial age,A Smith,2015,37,… of the axial age by looking first … ‘age’. The conclusion is that Jaspers’s attempt to unify the complex processes of demythologization under the notion of the axial age has produced a myth…,lnNQO9vEL7wJ,"A Smith - International Journal of Philosophy and Theology, 2015 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/21692327.2015.1136794,unknown,unknown
Inventing the axial age: the origins and uses of a historical concept,"JD Boy, J Torpey",2013,75,"… The conception of “primary” and “secondary” axial breakthroughs, retrospectively restoring … our review of the origins and uses of the axial age concept? The “invention” of the axial age in …",ZbwexOr_MoEJ,"JD Boy, J Torpey - Theory and society, 2013 - Springer",[],https://link.springer.com/article/10.1007/s11186-013-9193-0,unknown,unknown
Cultural memory and the myth of the axial age,J Assmann,2012,143,… The theory of the Axial Age is the creation of philosophers and … the Axial Age should be any more than just a scientific myth. … myth (and to a large degree also the theory) of the Axial Age …,3UHdW99hXscJ,J Assmann - 2012 - archiv.ub.uni-heidelberg.de,[],https://archiv.ub.uni-heidelberg.de/propylaeumdok/4108/1/Assmann_Cultural_Memory_2012.pdf,unknown,unknown
The Axial Age and Multiple Modernities: Philosophical Reflections on the Universal Claims of European Civilization,H Schelkshorn,2023,3,… tiation between the Axial Age and the period of the post-axial empires. … the Axial Age and modernity in different ways however. … retrospective reflection on its own relationship to the Axial …,89quwrNrg64J,"H Schelkshorn - Civilization, Modernity, and Critique, 2023 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003275046-12&type=chapterpdf,unknown,unknown
What is axial about the axial age?,RN Bellah,2005,278,"… by ""criticism."" Eisenstadt has stimulated scholars in many fields to write about the axial age, … How are we to characterize slightly more specifically the cultural content of the axial age? In …",fGBN_s5FhdoJ,"RN Bellah - … Européennes de Sociologie/European Journal of …, 2005 - JSTOR",[],https://www.jstor.org/stable/23998793,unknown,unknown
1 The Axial Age Debate as Religious Discourse,H Joas,2012,117,"10 Fundamental Questions forms of culture that, although being a product of life-processes, now have a retroactive effect on these pro cesses of life themselves. Religion for Simmel is …",7wT3poI2WdMJ,"H Joas - The axial age and its consequences, 2012 - degruyterbrill.com",[],https://www.degruyterbrill.com/document/doi/10.4159/harvard.9780674067400.c1/html,unknown,unknown
OUT OF THE DEEP PAST: THE AXIAL AGE AND ROBERT BELLAH'S PROJECT OF SOCIAL CRITICISM,"JD Boy, J Torpey",2019,1,"… the axial stage, however, Bellah was convinced that the axial … shorter work on the period from the Axial Age up to modern times… seen as the crucial heritage of the Axial Age for our times. …",IiH8oU_cROsJ,"JD Boy, J Torpey - The Anthem Companion to, 2019 - reference-global.com",[],https://reference-global.com/download/chapter/9781783089635/10.0000/9781783089635-001.pdf#page=91,unknown,unknown
Confucian ethics of the axial age: A reconstruction under the aspect of the breakthrough toward postconventional thinking,H Roetz,1993,435,"… Conversely, I will try my best to treat the ethics of the Chinese axial age from the perspective of a demanding discussion in contemporary moral philosophy. The thinkers of ancient …",OUBBmWhMgpAJ,H Roetz - 1993 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=BV2NjFqsUTEC&oi=fnd&pg=PR11&dq=Axial+Age+myth+criticism+invented+retrospective&ots=rqggqODuGG&sig=h8r-kgcITM5Ot7tDfw71hK7wgYY,unknown,unknown
