title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
An eco-ethical interpretation of Confucian Tianren Heyi,Y Xinzhong,2014,43,"… Chinese word “tian”, which for convenience but not necessarily accurately we translate as “Heaven”… This is what is known as tianren heyi, the harmony or unity of humanity and Heaven. …",3YONiDc_N6kJ,"Y Xinzhong - Frontiers of Philosophy in China, 2014 - brill.com",[],https://brill.com/view/journals/fphc/9/4/article-p570_6.xml,unknown,unknown
From “all under heaven” to “humanity's common destiny”: implications of conceptions of world-ness in Chinese traditional and contemporary thought for global …,"D Zhang, T Sargent",2026,1,"… , we explore Chinese contributions to conceptualizations of the oneness of humanity, a … (tiandiren heyi) and Heaven-Human Resonance (tianren ganying), which strongly support …",6FEDsizKjIUJ,"D Zhang, T Sargent - 2026 - emerald.com",[],https://www.emerald.com/books/edited-volume/21035/chapter-abstract/108751094,unknown,unknown
Oneness and particularity in chinese natural cosmology: the notion tianrenheyi,R Weber,2005,12,"… rendered as the unity of heaven and humanity.These notions … throughout Chinese philosophy, I will first demonstrate how heyi … Tianren hence by no means denotes a duality between …",c0usLfXKhToJ,"R Weber - Asian Philosophy, 2005 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/09552360500165379,unknown,unknown
From Chinese Cosmology to English Romanticism: The Intricate Journey of a Monistic Idea,Y Liu,2023,7,… friends about the foundational belief of Chinese culture in tianren heyi or humanity’s unity with heaven.1 As shown in or by … Known in Chinese philosophy and religion as tianren heyi or …,IQ3IJxcu7tsJ,Y Liu - 2023 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=WxmbEAAAQBAJ&oi=fnd&pg=PP1&dq=unity+of+heaven+and+humanity+Chinese+philosophy+tianren+heyi&ots=biEgx8r6u4&sig=jOM7F3ZrFSOfYQkj_KO2oNMZ1o4,unknown,unknown
How heaven and humanity are united as one: Tong as an alternative to tianren heyi,F He,2022,5,"… understand the oneness between heaven and humanity, I … that the oneness between heaven and humanity can only be … TRHY in the history of Chinese philosophy, in which we cannot …",MjsXXWk0jocJ,"F He - The Philosophical Forum, 2022 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/phil.12308,unknown,unknown
Daoist Unique Pursuit of Tianren Heyi,"P Huang, C Zhao",2026,0,"… tianren heyi (天人合一, “the unity of heaven and humanity”) (Huang 2024b) as the central theme of Chinese philosophy… which celebrates tianren heyi (“the unity of heaven and humanity”…",Izg_fWIYBbcJ,"P Huang, C Zhao - Religions, 2026 - mdpi.com",[],https://www.mdpi.com/2077-1444/17/1/109,unknown,unknown
"The Unity of Heaven, Earth, and Humanity: Understanding the Relationship Between Humans and Nature",J Cai,2023,3,"… to Chinese philosophy for solutions. The term tian ren he yi (“unity of heaven and humanity”) … (di) ren he yi (“unity of heaven, earth, and humanity”) and the human–nature relationship in …",Tbu_W_NN-MIJ,J Cai - 2023 - search.proquest.com,[],https://search.proquest.com/openview/198f009123aaedb755cf6b21d6ff5c33/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Confucian cosmological life and its eco-philosophical implications,W Xiaowei,2018,7,"… For many Chinese philosophers, in Western thought humans … “heaven and man are in a unity,” In this period, tianren heyi was … a client-like relationship between humans and heaven. …",wzxRNux_ccQJ,"W Xiaowei - Environmental Ethics, 2018 - JSTOR",[],https://www.jstor.org/stable/48844261,unknown,unknown
