title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Hierarchy in the forest: The evolution of egalitarian behavior,C Boehm,2009,3423,"… behavior, I also explore the reverse: the long-term effects of … lifestyle of Upper Paleolithic hunter-gatherers could have pro… dominance hierarchies and reverse dominance hierarchies. …",jdvmWYy1vl0J,C Boehm - 2009 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=ljxS8gUlgqgC&oi=fnd&pg=PR11&dq=Boehm+reverse+dominance+hierarchy+egalitarian+hunter-gatherers&ots=FxCLhk2J_d&sig=_z6Y788cKl7gBS2239hq7nyF2Y0,unknown,unknown
On human egalitarianism: an evolutionary product of Machiavellian status escalation?,"D Erdal, A Whiten, C Boehm…",1994,239,"… of hierarchy; we question the evidence for Boehm's concept of a ""reverse dominance hierarchy."" … Even among the most egalitarian of hunter-gatherers there is evidence that such recogni…",lON5fyCkbbMJ,"D Erdal, A Whiten, C Boehm… - Current …, 1994 - journals.uchicago.edu",[],https://www.journals.uchicago.edu/doi/abs/10.1086/204255,unknown,unknown
Impact of the human egalitarian syndrome on Darwinian selection mechanics,C Boehm,1997,341,… -benefit decisions that hunter-gatherers make about … egalitarianism can be discussed briefly. Egalitarianism produces what amounts to a neutralized dominance hierarchy (see Boehm …,zWDFWiQ6E0kJ,"C Boehm - The american naturalist, 1997 - journals.uchicago.edu",[],https://www.journals.uchicago.edu/doi/abs/10.1086/286052,unknown,unknown
Egalitarian behavior and reverse dominance hierarchy [and comments and reply],"C Boehm, HB Barclay, RK Dentan…",1993,1198,"… and behavior, such as complex hunter-gatherers … ""reverse dominance hierarchy"" (Boehm I984, I99I) because, rather than being dominated, the rank and file itself manages to dominate. …",fDhPQFM8TlsJ,"C Boehm, HB Barclay, RK Dentan… - Current …, 1993 - journals.uchicago.edu",[],https://www.journals.uchicago.edu/doi/abs/10.1086/204166,unknown,unknown
The play theory of hunter-gatherer egalitarianism,P Gray,2014,38,… We don’t see it in band hunter-gatherers (as defined in … everywhere have learned to turn the dominance hierarchy … people (as implied by Boehm's reverse dominance theory) or in other …,LjOjBy2uIKoJ,"P Gray - Ancestral landscapes in human evolution: Culture …, 2014 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=V87RAgAAQBAJ&oi=fnd&pg=PA192&dq=Boehm+reverse+dominance+hierarchy+egalitarian+hunter-gatherers&ots=hg5snY_y21&sig=XE94rYVZZsXDBfXeLG7ris000qM,unknown,unknown
How hunter–gatherers maintained their egalitarian ways,P Gray,2011,17,"… , Christopher Boehm proposed the theory that huntergatherers maintained equality through a practice that he labeled reverse dominance. In a standard dominance hierarchy - as can …",iJ0IWeIyJMUJ,"P Gray - Psychology Today, 2011 - theanarchistlibrary.org",[],https://theanarchistlibrary.org/mirror/p/pg/peter-gray-how-hunter-gatherers-maintained-their-egalitarian-ways.pdf,unknown,unknown
Egalitarianism made us the symbolic species,C Power,2022,8,"… of what we find: egalitarian hunter-gatherers are vigilant in … Because humans descend from great apes, says Boehm, our … , reverse dominant behaviours with our speciation as Homo …",bN51HnjnUVIJ,"C Power - Hunter Gatherer Research, 2022 - liverpooluniversitypress.co.uk",[],https://www.liverpooluniversitypress.co.uk/doi/abs/10.3828/hgr.2022.2,unknown,unknown
Democracy against Homo sapiens alpha: Reverse dominance and political equality in human history,FX Ruiz Collantes,2023,4,"… what Christopher Boehm has called ""reverse dominance hierarchy"" … Boehm does not argue that egalitarianism is a part of human … However, by interpreting hunter–gatherers as a society …",FvwR7WYtAUUJ,"FX Ruiz Collantes - Constellations. 2023. 20 p., 2023 - repositori.upf.edu",[],https://repositori.upf.edu/bitstreams/91470f21-8a69-45c9-8b70-32b2c413df34/download,unknown,unknown
