title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"兴起, 认同与超越: 新时代青年躺平现象的生成与疏导策略",寇钰婕,2024,0,"… lying flat” has aroused widespread concern and heated debate in both cyberspace and real space, and has become a value … importance to the phenomenon of youth “lying flat”, not only …",Gdv129q-kEUJ,"寇钰婕 - Advances in Social Sciences, 2024 - hanspub.org",[],https://www.hanspub.org/journal/paperinformation?paperID=95757,unknown,unknown
Job burnout and 996 working hour system: how Chinese generation Z reacts,L Cosseta,2023,4,"… 我们将看到,躺平与类似 的全球传播趋势有联系. 最后⼀章还讨论中国如何… decades and also to some cultural values typical of Chinese … As we will see, Tang Ping is rooted in other similar …",z4olOrDzQcYJ,L Cosseta - 2023 - unitesi.unive.it,[],https://unitesi.unive.it/handle/20.500.14247/16235,unknown,unknown
"A Study on Chinese Internet buzzwords “involution”,“lying flat,” and “tanking” according to Hofstede's Cultural Dimension Theory","W Xuan, GR Woods",2022,0,,6UPXYVpFf_IJ,"W Xuan, GR Woods - … and China …, 2022 - Korean Society of Study on Chinese …",[],,unknown,unknown
