title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"清末民初公羊學研究: 皮錫瑞, 廖平, 康有為",丁亞傑,2002,1,"… 羊》學貫串三 家學術,名曰:[清末民初公羊學研究——皮錫瑞,廖平,康有為]. 原因無他,三氏均能運用… (《經學歷史,經學開關時代》,頁9)在皮錫瑞看來, 漢代風俗淳美,即是通經致用之故,以此推論,孔子…",zJgCWpfzSysJ,丁亞傑 - 2002 - books.google.com,[],https://books.google.com/books?hl=zh-CN&lr=&id=w2NEDwAAQBAJ&oi=fnd&pg=PP11&dq=%E5%90%8D%E5%AE%B6+%E6%B6%88%E4%BA%A1+%E7%BB%9D%E5%AD%A6+%E5%90%8D%E8%BE%A9+%E8%A1%B0%E8%90%BD+%E5%8E%9F%E5%9B%A0+%E6%B1%89%E4%BB%A3&ots=aA_Nd1KtvT&sig=22W4VRKWNivS2tPu-ctccfmTqJk,unknown,unknown
明代春秋學研究,林穎政,2014,2,"… 從明初的鼎盛狀態,漸漸地越來越少人研治的背後原因為何;四則 析論明代三百年來《春秋》進士的… ;最後則討 論《左傳》在胡《傳》的壓制下如何力求解放與轉型,且何以由沉寂以 至崛起的原因探討. …",xv0JpUrHwtQJ,林穎政 - 2014 - books.google.com,[],https://books.google.com/books?hl=zh-CN&lr=&id=yOTdBQAAQBAJ&oi=fnd&pg=PA1&dq=%E5%90%8D%E5%AE%B6+%E6%B6%88%E4%BA%A1+%E7%BB%9D%E5%AD%A6+%E5%90%8D%E8%BE%A9+%E8%A1%B0%E8%90%BD+%E5%8E%9F%E5%9B%A0+%E6%B1%89%E4%BB%A3&ots=vpZEsjS1gg&sig=ic25ETK4dNxxDz9lB0sqGZnGmdQ,unknown,unknown
论汉魏思想的演变,袁峰,1996,0,,LOFaKHrX5VYJ,"袁峰 - 西北大学学报: 哲学社会科学版, 1996",[],,unknown,unknown
墨家科学思想及其历史命运,翟杰全,1995,7,,mUH-rqVNAwgJ,"翟杰全 - 自然辩证法研究, 1995",[],,unknown,unknown
中国经纪人史的“关键语” 与社会史研究的“套路”——关于社会生活专门史研究及书写方法的思想轨迹,曲彦斌,2016,0,,VlVGHnO9ZFkJ,"曲彦斌 - 文化学刊, 2016",[],,unknown,unknown
